Year,Happiness_Rank,Country,Happiness_Score,Economy_GDP,Family,Life_Expectancy,Freedom,Generosity,Trust_in_Gov,Region
2018,1,Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393,Finland
2018,2,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34,Norway
2018,3,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408,Denmark
2018,4,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138,Iceland
2018,5,Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357,Switzerland
2018,6,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295,Netherlands
2018,7,Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291,Canada
2018,8,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389,New Zealand
2018,9,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383,Sweden
2018,10,Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302,Australia
2018,11,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082,United Kingdom
2018,12,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224,Austria
2018,13,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101,Costa Rica
2018,14,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306,Ireland
2018,15,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28,Germany
2018,16,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24,Belgium
2018,17,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196,0.321,Luxembourg
2018,18,United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133,United States
2018,19,Israel,6.814,1.301,1.559,0.883,0.533,0.354,0.272,Israel
2018,20,United Arab Emirates,6.774,2.096,0.776,0.67,0.284,0.186,,United Arab Emirates
2018,21,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064,0.034,Czech Republic
2018,22,Malta,6.627,1.27,1.525,0.884,0.645,0.376,0.142,Malta
2018,23,France,6.489,1.293,1.466,0.908,0.52,0.098,0.176,France
2018,24,Mexico,6.488,1.038,1.252,0.761,0.479,0.069,0.095,Mexico
2018,25,Chile,6.476,1.131,1.331,0.808,0.431,0.197,0.061,Chile
2018,26,Taiwan,6.441,1.365,1.436,0.857,0.418,0.151,0.078,Taiwan
2018,27,Panama,6.43,1.112,1.438,0.759,0.597,0.125,0.063,Panama
2018,28,Brazil,6.419,0.986,1.474,0.675,0.493,0.11,0.088,Brazil
2018,29,Argentina,6.388,1.073,1.468,0.744,0.57,0.062,0.054,Argentina
2018,30,Guatemala,6.382,0.781,1.268,0.608,0.604,0.179,0.071,Guatemala
2018,31,Uruguay,6.379,1.093,1.459,0.771,0.625,0.13,0.155,Uruguay
2018,32,Qatar,6.374,1.649,1.303,0.748,0.654,0.256,0.171,Qatar
2018,33,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127,Saudi Arabia
2018,34,Singapore,6.343,1.529,1.451,1.008,0.631,0.261,0.457,Singapore
2018,35,Malaysia,6.322,1.161,1.258,0.669,0.356,0.311,0.059,Malaysia
2018,36,Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.074,Spain
2018,37,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039,Colombia
2018,38,Trinidad & Tobago,6.192,1.223,1.492,0.564,0.575,0.171,0.019,Trinidad & Tobago
2018,39,Slovakia,6.173,1.21,1.537,0.776,0.354,0.118,0.014,Slovakia
2018,40,El Salvador,6.167,0.806,1.231,0.639,0.461,0.065,0.082,El Salvador
2018,41,Nicaragua,6.141,0.668,1.319,0.7,0.527,0.208,0.128,Nicaragua
2018,42,Poland,6.123,1.176,1.448,0.781,0.546,0.108,0.064,Poland
2018,43,Bahrain,6.105,1.338,1.366,0.698,0.594,0.243,0.123,Bahrain
2018,44,Uzbekistan,6.096,0.719,1.584,0.605,0.724,0.328,0.259,Uzbekistan
2018,45,Kuwait,6.083,1.474,1.301,0.675,0.554,0.167,0.106,Kuwait
2018,46,Thailand,6.072,1.016,1.417,0.707,0.637,0.364,0.029,Thailand
2018,47,Italy,6.0,1.264,1.501,0.946,0.281,0.137,0.028,Italy
2018,48,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12,Ecuador
2018,49,Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.089,Belize
2018,50,Lithuania,5.952,1.197,1.527,0.716,0.35,0.026,0.006,Lithuania
2018,51,Slovenia,5.948,1.219,1.506,0.856,0.633,0.16,0.051,Slovenia
2018,52,Romania,5.945,1.116,1.219,0.726,0.528,0.088,0.001,Romania
2018,53,Latvia,5.933,1.148,1.454,0.671,0.363,0.092,0.066,Latvia
2018,54,Japan,5.915,1.294,1.462,0.988,0.553,0.079,0.15,Japan
2018,55,Mauritius,5.891,1.09,1.387,0.684,0.584,0.245,0.05,Mauritius
2018,56,Jamaica,5.89,0.819,1.493,0.693,0.575,0.096,0.031,Jamaica
2018,57,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051,South Korea
2018,58,Northern Cyprus,5.835,1.229,1.211,0.909,0.495,0.179,0.154,Northern Cyprus
2018,59,Russia,5.81,1.151,1.479,0.599,0.399,0.065,0.025,Russia
2018,60,Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.148,0.121,Kazakhstan
2018,61,Cyprus,5.762,1.229,1.191,0.909,0.423,0.202,0.035,Cyprus
2018,62,Bolivia,5.752,0.751,1.223,0.508,0.606,0.141,0.054,Bolivia
2018,63,Estonia,5.739,1.2,1.532,0.737,0.553,0.086,0.174,Estonia
2018,64,Paraguay,5.681,0.835,1.522,0.615,0.541,0.162,0.074,Paraguay
2018,65,Peru,5.663,0.934,1.249,0.674,0.53,0.092,0.034,Peru
2018,66,Kosovo,5.662,0.855,1.23,0.578,0.448,0.274,0.023,Kosovo
2018,67,Moldova,5.64,0.657,1.301,0.62,0.232,0.171,0.0,Moldova
2018,68,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037,Turkmenistan
2018,69,Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022,Hungary
2018,70,Libya,5.566,0.985,1.35,0.553,0.496,0.116,0.148,Libya
2018,71,Philippines,5.524,0.775,1.312,0.513,0.643,0.12,0.105,Philippines
2018,72,Honduras,5.504,0.62,1.205,0.622,0.459,0.197,0.074,Honduras
2018,73,Belarus,5.483,1.039,1.498,0.7,0.307,0.101,0.154,Belarus
2018,74,Turkey,5.483,1.148,1.38,0.686,0.324,0.106,0.109,Turkey
2018,75,Pakistan,5.472,0.652,0.81,0.424,0.334,0.216,0.113,Pakistan
2018,76,Hong Kong,5.43,1.405,1.29,1.03,0.524,0.246,0.291,Hong Kong
2018,77,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017,Portugal
2018,78,Serbia,5.398,0.975,1.369,0.685,0.288,0.134,0.043,Serbia
2018,79,Greece,5.358,1.154,1.202,0.879,0.131,0.0,0.044,Greece
2018,80,Lebanon,5.358,0.965,1.179,0.785,0.503,0.214,0.136,Lebanon
2018,81,Montenegro,5.347,1.017,1.279,0.729,0.259,0.111,0.081,Montenegro
2018,82,Croatia,5.321,1.115,1.161,0.737,0.38,0.12,0.039,Croatia
2018,83,Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.12,0.106,Dominican Republic
2018,84,Algeria,5.295,0.979,1.154,0.687,0.077,0.055,0.135,Algeria
2018,85,Morocco,5.254,0.779,0.797,0.669,0.46,0.026,0.074,Morocco
2018,86,China,5.246,0.989,1.142,0.799,0.597,0.029,0.103,China
2018,87,Azerbaijan,5.201,1.024,1.161,0.603,0.43,0.031,0.176,Azerbaijan
2018,88,Tajikistan,5.199,0.474,1.166,0.598,0.292,0.187,0.034,Tajikistan
2018,89,Macedonia,5.185,0.959,1.239,0.691,0.394,0.173,0.052,Macedonia
2018,90,Jordan,5.161,0.822,1.265,0.645,0.468,0.13,0.134,Jordan
2018,91,Nigeria,5.155,0.689,1.172,0.048,0.462,0.201,0.032,Nigeria
2018,92,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.281,0.035,Kyrgyzstan
2018,93,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.216,0.0,Bosnia and Herzegovina
2018,94,Mongolia,5.125,0.914,1.517,0.575,0.395,0.253,0.032,Mongolia
2018,95,Vietnam,5.103,0.715,1.365,0.702,0.618,0.177,0.079,Vietnam
2018,96,Indonesia,5.093,0.899,1.215,0.522,0.538,0.484,0.018,Indonesia
2018,97,Bhutan,5.082,0.796,1.335,0.527,0.541,0.364,0.171,Bhutan
2018,98,Somalia,4.982,0.0,0.712,0.115,0.674,0.238,0.282,Somalia
2018,99,Cameroon,4.975,0.535,0.891,0.182,0.454,0.183,0.043,Cameroon
2018,100,Bulgaria,4.933,1.054,1.515,0.712,0.359,0.064,0.009,Bulgaria
2018,101,Nepal,4.88,0.425,1.228,0.539,0.526,0.302,0.078,Nepal
2018,102,Venezuela,4.806,0.996,1.469,0.657,0.133,0.056,0.052,Venezuela
2018,103,Gabon,4.758,1.036,1.164,0.404,0.356,0.032,0.052,Gabon
2018,104,Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.086,0.076,Palestinian Territories
2018,105,South Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056,South Africa
2018,106,Iran,4.707,1.059,0.771,0.691,0.459,0.282,0.129,Iran
2018,107,Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.146,0.103,Ivory Coast
2018,108,Ghana,4.657,0.592,0.896,0.337,0.499,0.212,0.029,Ghana
2018,109,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.082,Senegal
2018,110,Laos,4.623,0.72,1.034,0.441,0.626,0.23,0.174,Laos
2018,111,Tunisia,4.592,0.9,0.906,0.69,0.271,0.04,0.063,Tunisia
2018,112,Albania,4.586,0.916,0.817,0.79,0.419,0.149,0.032,Albania
2018,113,Sierra Leone,4.571,0.256,0.813,0.0,0.355,0.238,0.053,Sierra Leone
2018,114,Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514,0.091,0.077,Congo (Brazzaville)
2018,115,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.144,Bangladesh
2018,116,Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307,0.05,Sri Lanka
2018,117,Iraq,4.456,1.01,0.971,0.536,0.304,0.148,0.095,Iraq
2018,118,Mali,4.447,0.37,1.233,0.152,0.367,0.139,0.056,Mali
2018,119,Namibia,4.441,0.874,1.281,0.365,0.519,0.051,0.064,Namibia
2018,120,Cambodia,4.433,0.549,1.088,0.457,0.696,0.256,0.065,Cambodia
2018,121,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175,0.128,Burkina Faso
2018,122,Egypt,4.419,0.885,1.025,0.553,0.312,0.092,0.107,Egypt
2018,123,Mozambique,4.417,0.198,0.902,0.173,0.531,0.206,0.158,Mozambique
2018,124,Kenya,4.41,0.493,1.048,0.454,0.504,0.352,0.055,Kenya
2018,125,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.082,Zambia
2018,126,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,0.093,Mauritania
2018,127,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,0.146,Ethiopia
2018,128,Georgia,4.34,0.853,0.592,0.643,0.375,0.038,0.215,Georgia
2018,129,Armenia,4.321,0.816,0.99,0.666,0.26,0.077,0.028,Armenia
2018,130,Myanmar,4.308,0.682,1.174,0.429,0.58,0.598,0.178,Myanmar
2018,131,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06,Chad
2018,132,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.197,0.052,Congo (Kinshasa)
2018,133,India,4.19,0.721,0.747,0.485,0.539,0.172,0.093,India
2018,134,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099,Niger
2018,135,Uganda,4.161,0.322,1.09,0.237,0.45,0.259,0.061,Uganda
2018,136,Benin,4.141,0.378,0.372,0.24,0.44,0.163,0.067,Benin
2018,137,Sudan,4.139,0.605,1.24,0.312,0.016,0.134,0.082,Sudan
2018,138,Ukraine,4.103,0.793,1.413,0.609,0.163,0.187,0.011,Ukraine
2018,139,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101,Togo
2018,140,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094,Guinea
2018,141,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112,Lesotho
2018,142,Angola,3.795,0.73,1.125,0.269,0.0,0.079,0.061,Angola
2018,143,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049,Madagascar
2018,144,Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132,0.099,Zimbabwe
2018,145,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036,Afghanistan
2018,146,Botswana,3.59,1.017,1.174,0.417,0.557,0.042,0.092,Botswana
2018,147,Malawi,3.587,0.186,0.541,0.306,0.531,0.21,0.08,Malawi
2018,148,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104,Haiti
2018,149,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03,Liberia
