<<<<<<< HEAD
,Country,Region,Happiness_Rank,Happiness_Score,Economy_GDP,Family,Life_Expectancy,Freedom,Trust_in_Gov,Generosity,Dystopia_Residual,Year
0,Finland,Western Europe,nan,7.808700085,10.63926697,0.954329729,71.9008255,0.949172199,0.195444584,-0.059482019,2.762835026,2020
1,Denmark,Western Europe,nan,7.645599842,10.77400112,0.955990791,72.40250397,0.951444268,0.168489456,0.066201776,2.432740688,2020
2,Switzerland,Western Europe,nan,7.559899807,10.97993279,0.942846596,74.10244751,0.921336651,0.303728431,0.105911039,2.35026741,2020
3,Iceland,Western Europe,nan,7.504499912,10.77255917,0.974669576,73.0,0.948891878,0.711709738,0.246944219,2.460688114,2020
4,Norway,Western Europe,nan,7.487999916,11.08780384,0.952486575,73.20078278,0.955750287,0.263218194,0.13453263,2.168266296,2020
5,Netherlands,Western Europe,nan,7.448900223,10.81271172,0.93913883,72.30091858,0.908547819,0.364717126,0.20761244,2.352117062,2020
6,Sweden,Western Europe,nan,7.353499889,10.75879383,0.926311195,72.60076904,0.939144194,0.250880182,0.111614622,2.246299267,2020
7,New Zealand,North America and ANZ,nan,7.299600124,10.50094318,0.949118972,73.20262909,0.936217487,0.22113885,0.191598073,2.128108025,2020
8,Austria,Western Europe,nan,7.294199944,10.7428236,0.928045869,73.00250244,0.899989486,0.499954879,0.085429221,2.398446083,2020
9,Luxembourg,Western Europe,nan,7.237500191,11.45068073,0.906912208,72.59999847,0.90563643,0.367084295,-0.004620588,2.153700352,2020
10,Canada,North America and ANZ,nan,7.23210001,10.69236851,0.927176654,73.60160065,0.933913231,0.390843362,0.124770768,2.195269108,2020
11,Australia,North America and ANZ,nan,7.222799778,10.72059631,0.944854617,73.60453796,0.915431738,0.41516912,0.19046016,2.129804134,2020
12,United Kingdom,Western Europe,nan,7.164500237,10.60013485,0.93668282,72.30160522,0.834743679,0.435915917,0.263732493,2.236721992,2020
13,Israel,Middle East and North Africa,nan,7.128600121,10.41752529,0.913571239,73.20025635,0.747580588,0.78085506,0.10259372,2.713358402,2020
14,Costa Rica,Latin America and Caribbean,nan,7.121399879,9.658156395,0.901545942,71.29985046,0.934738934,0.786332428,-0.10242971,2.953135014,2020
15,Ireland,Western Europe,nan,7.093699932,11.16097832,0.942081571,72.30078888,0.886982977,0.357184172,0.145784974,1.943878174,2020
16,Germany,Western Europe,nan,7.075799942,10.7328186,0.898874462,72.20201874,0.867371082,0.456422031,0.080179386,2.295249462,2020
17,United States,North America and ANZ,nan,6.939599991,10.92576885,0.914219022,68.29949951,0.842619538,0.699715316,0.149891734,2.344124794,2020
